tag_id,tag_print,tag,games_with_this_tag,votes_for_this_tag,tag_weight,price_median,undersore_median,owners_median,playtime_median
98,Competitive,competitive,143,"32,014",224,$6.49 ,82%,"6,330,000",2:42
19,Shooter,shooter,729,"158,027",217,$6.99 ,82%,"5,420,000",2:36
97,Mature,mature,146,"31,538",216,$9.99 ,85%,"3,160,000",3:50
17,Co-op,co_op,774,"164,251",212,$9.99 ,81%,"6,780,000",3:48
225,Hacking,hacking,31,"6,393",206,$6.99 ,83%,"3,620,000",3:00
41,Third Person,third_person,405,"82,638",204,$9.99 ,80%,"6,330,000",3:58
104,Military,military,131,"26,752",204,$9.99 ,85%,"6,330,000",3:57
307,LEGO,lego,10,"2,014",201,$19.99 ,83%,"2,260,000",6:00
118,Dark Fantasy,dark_fantasy,109,"21,166",194,$9.99 ,81%,"3,160,000",4:46
82,Realistic,realistic,169,"32,659",193,$14.99 ,80%,"4,750,000",4:41
245,Quick-Time Events,quick_time_events,24,"4,506",188,$14.99 ,80.50%,"8,140,000",8:19
105,Choices Matter,choices_matter,129,"24,219",188,$6.99 ,90%,"2,940,000",5:05
262,America,america,21,"3,852",183,$17.49 ,77%,"7,010,000",5:19
274,Time Manipulation,time_manipulation,17,"3,105",183,$9.99 ,85.50%,"3,620,000",3:01
73,Survival Horror,survival_horror,204,"37,045",182,$9.99 ,80%,"5,650,000",3:07
137,Multiple Endings,multiple_endings,83,"14,978",180,$9.99 ,91%,"2,710,000",3:32
239,Hunting,hunting,27,"4,832",179,$14.99 ,65%,"4,290,000",6:52
51,Tactical,tactical,319,"56,287",176,$9.99 ,82%,"5,420,000",3:46
238,Science,science,27,"4,751",176,$9.99 ,88%,"3,390,000",5:45
241,Underwater,underwater,27,"4,687",174,$9.99 ,85.50%,"3,160,000",3:02
77,War,war,194,"33,307",172,$9.99 ,81%,"6,780,000",4:02
171,Episodic,episodic,51,"8,712",171,$1.99 ,93%,"2,710,000",0:28
101,Medieval,medieval,138,"23,412",170,$9.99 ,82%,"4,520,000",5:05
43,Exploration,exploration,376,"63,473",169,$9.99 ,80%,"4,070,000",4:04
204,PvE,pve,38,"6,434",169,$0 ,69%,"9,040,000",3:48
300,Horses,horses,11,"1,839",167,$9.99 ,83%,"11,300,000",8:32
136,Driving,driving,85,"13,999",165,$14.99 ,80%,"4,070,000",4:50
337,Intentionally Awkward Controls,intentionally_awkward_controls,2,328,164,$7.49 ,64%,"6,550,000",1:26
42,Massively Multiplayer,massively_multiplayer,388,"63,752",164,$0 ,70%,"5,420,000",1:39
298,Lara Croft,lara_croft,12,"1,958",163,$7.99 ,87%,"7,680,000",1:36
284,Based On A Novel,based_on_a_novel,15,"2,415",161,$9.99 ,82.50%,"11,300,000",3:50
122,Robots,robots,102,"15,975",157,$9.99 ,85%,"3,390,000",2:39
280,Inventory Management,inventory_management,15,"2,355",157,$9.99 ,88.50%,"8,590,000",2:41
283,Star Wars,star_wars,15,"2,346",156,$7.99 ,83.50%,"4,070,000",1:31
109,Base-Building,base_building,120,"18,258",152,$14.99 ,78%,"3,160,000",5:14
117,World War II,world_war_ii,110,"16,384",149,$9.99 ,80%,"3,160,000",2:13
69,Action RPG,action_rpg,211,"30,893",146,$9.99 ,82%,"5,420,000",4:41
149,Grand Strategy,grand_strategy,73,"10,603",145,$14.99 ,83%,"6,100,000",6:09
232,Cinematic,cinematic,29,"4,200",145,$14.99 ,85%,"7,910,000",5:28
194,Ninja,ninja,42,"6,050",144,$5.99 ,90%,"5,650,000",3:08
151,Destruction,destruction,71,"10,017",141,$9.99 ,84%,"3,160,000",3:29
207,Superhero,superhero,35,"4,916",140,$14.99 ,81.50%,"3,160,000",6:42
292,Sniper,sniper,13,"1,826",140,$0.99 ,70%,"4,970,000",3:10
135,City Builder,city_builder,85,"11,833",139,$14.99 ,73.50%,"2,260,000",3:53
211,Time Travel,time_travel,33,"4,593",139,$9.99 ,87%,"3,620,000",3:11
272,TrackIR,trackir,17,"2,341",138,$19.49 ,81.50%,"8,810,000",6:00
102,Character Customization,character_customization,136,"18,761",138,$9.99 ,82%,"5,420,000",4:40
107,MMORPG,mmorpg,122,"16,822",138,$0 ,70%,"4,520,000",1:54
271,Soccer,soccer,18,"2,435",135,$0.99 ,74%,"1,360,000",1:14
260,Spectacle fighter,spectacle_fighter,21,"2,820",134,$19.99 ,88%,"3,620,000",6:55
249,Warhammer 40K,warhammer_40k,23,"3,066",133,$14.99 ,82.50%,"4,520,000",7:11
37,Comedy,comedy,451,"60,103",133,$6.69 ,88%,"3,620,000",3:10
16,Story Rich,story_rich,809,"106,430",132,$9.99 ,87%,"3,620,000",3:58
188,Tanks,tanks,43,"5,666",132,$4.99 ,76.50%,"6,100,000",4:17
78,Historical,historical,192,"25,124",131,$9.99 ,82%,"4,070,000",4:26
128,Magic,magic,96,"12,514",130,$9.99 ,82%,"4,520,000",5:37
190,Animation & Modeling,animation_&_modeling,42,"5,396",128,$0 ,80%,"1,360,000",0:31
11,Atmospheric,atmospheric,1115,"141,901",127,$9.99 ,83%,"4,520,000",3:49
131,Aliens,aliens,93,"11,696",126,$7.99 ,84%,"5,420,000",3:17
72,Dark,dark,205,"25,704",125,$9.99 ,86%,"3,620,000",3:16
275,Rome,rome,17,"2,054",121,$9.99 ,76%,"3,160,000",7:03
315,Transhumanism,transhumanism,7,832,119,$9.99 ,71%,"10,850,000",2:04
8,RPG,rpg,1594,"188,924",119,$6.99 ,78%,"2,260,000",3:18
76,Physics,physics,199,"23,425",118,$8.99 ,84%,"3,620,000",3:00
22,Horror,horror,687,"81,105",118,$5.99 ,79%,"3,160,000",2:57
187,Space Sim,space_sim,43,"5,039",117,$9.99 ,75%,"1,810,000",1:42
94,Fighting,fighting,149,"17,296",116,$9.99 ,82%,"3,160,000",3:43
26,Funny,funny,659,"76,672",116,$7.99 ,86%,"4,070,000",3:10
116,Futuristic,futuristic,111,"12,615",114,$14.49 ,83%,"5,880,000",4:09
160,Loot,loot,60,"6,869",114,$9.99 ,82%,"2,710,000",5:26
202,Narration,narration,39,"4,439",114,$9.99 ,86%,"2,940,000",3:16
47,Space,space,348,"39,393",113,$9.99 ,78%,"2,710,000",3:08
2,Action,action,3904,"442,930",113,$4.99 ,79%,"2,710,000",2:51
228,Swordplay,swordplay,29,"3,260",112,$10.99 ,81%,"6,780,000",3:36
14,Early Access,early_access,884,"99,013",112,$8.99 ,73%,"1,360,000",3:30
163,Cartoony,cartoony,58,"6,484",112,$5.49 ,84%,"3,390,000",3:08
20,Sci-fi,sci_fi,717,"78,232",109,$9.99 ,83%,"4,070,000",3:04
281,Diplomacy,diplomacy,15,"1,632",109,$9.99 ,90%,"11,750,000",6:34
