tag_id,tag_print,tag,games_with_this_tag,votes_for_this_tag,tag_weight,price_median,undersore_median,owners_median,playtime_median
331,Tutorial,tutorial,3,64,21,$0 ,80%,"1,360,000",0:00
316,Werewolves,werewolves,7,130,19,$3.99 ,76%,"10,400,000",6:10
310,Artificial Intelligence,artificial_intelligence,8,141,18,$9.99 ,76%,"4,520,000",14:33
24,VR,vr,669,"12,060",18,$6.99 ,78%,"900,000",0:50
233,FMV,fmv,28,490,18,$5.99 ,76%,"450,000",0:44
309,Sokoban,sokoban,8,146,18,$0.99 ,70.50%,"1,360,000",3:00
299,Logic,logic,11,184,17,$4.99 ,94%,"1,130,000",1:15
326,Gaming,gaming,5,85,17,$0 ,92%,"2,710,000",0:00
328,Conversation,conversation,4,64,16,$5.49 ,87.50%,"450,000",4:35
338,Hardware,hardware,1,15,15,$14.99 ,86%,0,0:00
333,Steam Machine,steam_machine,3,45,15,$9.99 ,86%,"450,000",0:01
276,Experience,experience,16,244,15,$5.99 ,75%,"1,360,000",1:14
258,Runner,runner,22,326,15,$1.99 ,80%,"900,000",2:13
313,Mystery Dungeon,mystery_dungeon,7,97,14,$4.99 ,76%,"450,000",0:03
270,Soundtrack,soundtrack,18,233,13,$1.49 ,84%,"1,580,000",2:16
339,Spelling,spelling,1,13,13,$0.99 ,68%,"900,000",3:48
168,Text-Based,text_based,53,626,12,$3.99 ,81.50%,"450,000",3:13
112,VR Only,vr_only,118,118,1,$11.99 ,83%,"900,000",0:50
